iter	Passed	Remaining
655	1192	625
656	1193	623
657	1195	621
658	1197	619
659	1199	617
660	1200	615
661	1202	614
662	1204	612
663	1206	610
664	1207	608
665	1209	606
666	1211	604
667	1212	602
668	1214	601
669	1216	599
670	1218	597
671	1220	595
672	1221	593
673	1223	591
674	1225	590
675	1227	588
676	1228	586
677	1230	584
678	1232	582
679	1234	580
680	1235	578
681	1237	577
682	1239	575
683	1241	573
684	1243	571
685	1244	569
686	1246	567
687	1248	566
688	1249	564
689	1251	562
690	1253	560
691	1255	558
692	1256	556
693	1258	555
694	1260	553
695	1262	551
696	1264	549
697	1266	547
698	1268	546
699	1269	544
700	1271	542
701	1273	540
702	1275	538
703	1276	536
704	1278	535
705	1280	533
706	1282	531
707	1284	529
708	1286	527
709	1288	526
710	1290	524
711	1293	523
712	1295	521
713	1297	519
714	1298	517
715	1300	515
716	1302	514
717	1304	512
718	1306	510
719	1308	508
720	1309	506
721	1311	505
722	1313	503
723	1315	501
724	1317	499
725	1319	497
726	1321	496
727	1323	494
728	1324	492
729	1326	490
730	1328	488
731	1330	487
732	1332	485
733	1334	483
734	1335	481
735	1337	479
736	1339	477
737	1341	476
738	1343	474
739	1346	473
740	1348	471
741	1352	470
742	1355	468
743	1359	467
744	1362	466
745	1365	464
746	1368	463
747	1370	461
748	1374	460
749	1377	459
750	1379	457
751	1383	456
752	1386	454
753	1388	453
754	1391	451
755	1393	449
756	1395	448
757	1397	446
758	1399	444
759	1401	442
760	1403	440
761	1405	438
762	1407	437
763	1408	435
764	1410	433
765	1412	431
766	1414	429
767	1416	427
768	1418	426
769	1420	424
770	1422	422
771	1424	420
772	1426	418
773	1427	416
774	1429	415
775	1432	413
776	1434	411
777	1436	409
778	1438	408
779	1440	406
780	1442	404
781	1443	402
782	1445	400
783	1447	398
784	1449	396
785	1451	395
786	1453	393
787	1455	391
788	1456	389
789	1458	387
790	1460	385
791	1462	384
792	1464	382
793	1466	380
794	1467	378
795	1470	376
796	1472	375
797	1474	373
798	1476	371
799	1478	369
800	1480	367
801	1481	365
802	1483	363
803	1485	362
804	1487	360
805	1489	358
806	1491	356
807	1493	354
808	1495	353
809	1497	351
810	1499	349
811	1501	347
812	1502	345
813	1504	343
814	1506	341
815	1508	340
816	1510	338
817	1511	336
818	1513	334
819	1515	332
820	1517	330
821	1519	328
822	1520	327
823	1522	325
824	1524	323
825	1526	321
826	1528	319
827	1529	317
828	1531	315
829	1533	314
830	1535	312
831	1537	310
832	1539	308
833	1540	306
834	1542	304
835	1544	302
836	1546	301
837	1548	299
838	1549	297
839	1551	295
840	1553	293
841	1555	291
842	1557	290
843	1559	288
844	1561	286
845	1563	284
846	1564	282
847	1566	280
848	1568	278
849	1570	277
850	1571	275
851	1573	273
852	1575	271
853	1577	269
854	1579	267
855	1581	266
856	1583	264
857	1585	262
858	1587	260
859	1589	258
860	1591	256
861	1593	255
862	1595	253
863	1596	251
864	1599	249
865	1600	247
866	1603	245
867	1605	244
868	1607	242
869	1609	240
870	1610	238
871	1612	236
872	1614	234
873	1615	232
874	1617	231
875	1619	229
876	1621	227
877	1623	225
878	1625	223
879	1626	221
880	1628	219
881	1630	218
882	1632	216
883	1634	214
884	1635	212
885	1637	210
886	1639	208
887	1641	206
888	1642	205
889	1644	203
890	1646	201
891	1648	199
892	1650	197
893	1652	195
894	1654	194
895	1656	192
896	1658	190
897	1659	188
898	1661	186
899	1663	184
900	1664	182
901	1666	181
902	1668	179
903	1669	177
904	1671	175
905	1674	173
906	1675	171
907	1677	169
908	1679	168
909	1681	166
910	1682	164
911	1684	162
912	1686	160
913	1688	158
914	1690	157
915	1692	155
916	1693	153
917	1695	151
918	1697	149
919	1699	147
920	1701	145
921	1703	144
922	1704	142
923	1706	140
924	1708	138
925	1710	136
926	1711	134
927	1713	132
928	1715	131
929	1717	129
930	1719	127
931	1720	125
932	1723	123
933	1725	121
934	1726	120
935	1728	118
936	1730	116
937	1732	114
938	1733	112
939	1735	110
940	1737	108
941	1739	107
942	1740	105
943	1742	103
944	1744	101
945	1746	99
946	1747	97
947	1749	95
948	1751	94
949	1753	92
950	1754	90
951	1756	88
952	1758	86
953	1760	84
954	1761	83
955	1763	81
956	1765	79
957	1767	77
958	1768	75
959	1770	73
960	1772	71
961	1774	70
962	1775	68
963	1777	66
964	1779	64
965	1781	62
966	1783	60
967	1785	59
968	1787	57
969	1789	55
970	1790	53
971	1792	51
972	1794	49
973	1796	47
974	1797	46
975	1799	44
976	1801	42
